sitename,year_start,year_end
AR-SLu,2010,2010
AT-Neu,2002,2012
AU-ASM,2012,2016
AU-Cow,2010,2014
AU-Cpr,2015,2017
AU-Ctr,2010,2012
AU-Cum,2013,2018
AU-DaP,2010,2010
AU-DaS,2012,2017
AU-Dry,2012,2014
AU-Emr,2012,2013
AU-GWW,2013,2017
AU-Gin,2012,2017
AU-How,2009,2017
AU-Lit,2016,2017
AU-Otw,2009,2010
AU-Rig,2014,2016
AU-Rob,2014,2017
AU-Sam,2014,2017
AU-Stp,2011,2016
AU-TTE,2016,2016
AU-Tum,2011,2017
AU-Whr,2015,2016
AU-Wrr,2017,2017
AU-Ync,2012,2016
BE-Bra,2010,2020
BE-Dor,2016,2017
BE-Lcr,2019,2020
BE-Maa,2016,2020
BE-Vie,1997,2008
BR-Npw,2016,2016
BR-Sa3,2001,2002
CA-Ca1,1998,2009
CA-Ca2,2001,2010
CA-Cbo,2009,2020
CA-Gro,2004,2013
CA-LP1,2008,2011
CA-NS1,2003,2004
CA-NS2,2002,2003
CA-NS3,2002,2004
CA-NS5,2004,2004
CA-NS6,2002,2004
CA-NS7,2003,2004
CA-Qcu,2003,2006
CA-Qfo,2004,2010
CA-TP1,2009,2013
CA-TP3,2008,2017
CA-TPD,2012,2017
CH-Aws,2015,2020
CH-Cha,2010,2020
CH-Dav,1997,2009
CH-Fru,2011,2020
CH-Lae,2005,2019
CH-Oe1,2003,2008
CN-Cha,2003,2005
CN-Cng,2008,2009
CN-Dan,2005,2005
CN-Din,2003,2005
CN-Du2,2007,2008
CN-HaM,2003,2003
CN-Qia,2003,2005
CZ-BK1,2005,2019
CZ-Lnz,2015,2020
CZ-RAJ,2012,2020
CZ-Stn,2010,2020
DE-Bay,1998,1998
DE-Gri,2005,2019
DE-Hai,2011,2019
DE-HoH,2015,2020
DE-Hzd,2012,2014
DE-Obe,2009,2020
DE-RuR,2012,2020
DE-RuW,2013,2020
DE-Tha,1997,2019
DE-Wet,2004,2005
DK-Lva,2005,2006
DK-Sor,1997,2012
ES-Abr,2016,2020
ES-Agu,2007,2013
ES-Cnd,2015,2020
ES-ES1,2003,2003
ES-LJu,2007,2015
ES-LM1,2015,2020
ES-LM2,2015,2020
ES-LMa,2005,2005
ES-LgS,2007,2007
FI-Hyy,1997,2016
FI-Ken,2018,2020
FI-Let,2010,2020
FI-Sod,2008,2014
FI-Var,2016,2020
FR-Bil,2015,2020
FR-FBn,2009,2020
FR-Fon,2006,2013
FR-Hes,2004,2005
FR-LBr,2003,2008
FR-Lq1,2005,2005
FR-Lq2,2005,2005
FR-Pue,2001,2014
FR-Tou,2018,2020
GF-Guy,2004,2019
GL-Dsk,2020,2020
HU-Bug,2004,2004
IL-Yat,2012,2020
IT-Amp,2003,2005
IT-BFt,2019,2020
IT-CA1,2012,2012
IT-CA3,2012,2013
IT-Col,2007,2014
IT-Cp2,2013,2013
IT-Cpz,2001,2007
IT-Isp,2014,2014
IT-Lav,2003,2020
IT-Lsn,2016,2020
IT-MBo,2004,2012
IT-Noe,2005,2010
IT-PT1,2003,2003
IT-Ren,2001,2014
IT-Ro1,2002,2006
IT-Ro2,2002,2007
IT-SR2,2013,2020
IT-SRo,2009,2012
IT-Tor,2009,2020
JP-SMF,2003,2006
NL-Hor,2008,2008
NL-Loo,1997,2017
PT-Mi2,2005,2006
RU-Fy2,2016,2020
RU-Fyo,1999,2009
SD-Dem,2008,2008
SE-Htm,2015,2020
SE-Nor,2014,2020
SE-Ros,2015,2019
SE-Svb,2019,2020
US-AR1,2010,2011
US-AR2,2010,2011
US-Aud,2004,2004
US-BRG,2018,2019
US-BZS,2016,2020
US-Bar,2005,2017
US-Blo,2000,2006
US-CS2,2020,2020
US-Cop,2002,2002
US-EML,2011,2014
US-FPe,2004,2005
US-Fmf,2006,2010
US-Fuf,2006,2009
US-GLE,2006,2019
US-Goo,2005,2005
US-HWB,2016,2017
US-Hn2,2018,2018
US-Hn3,2018,2018
US-Ho2,2008,2017
US-ICh,2010,2020
US-ICt,2016,2020
US-Jo1,2011,2016
US-Jo2,2011,2020
US-KFS,2008,2013
US-KLS,2013,2019
US-KS2,2004,2006
US-MMS,1999,2020
US-MOz,2007,2019
US-Me2,2005,2010
US-Me3,2007,2008
US-Me6,2011,2014
US-Mpj,2009,2020
US-NC1,2009,2011
US-NR1,2008,2015
US-ONA,2017,2020
US-PFa,1997,2014
US-Prr,2011,2013
US-Rms,2015,2019
US-Ro4,2015,2021
US-Rwe,2004,2006
US-Rwf,2015,2019
US-Rws,2015,2019
US-SP2,2001,2004
US-SP3,2001,2003
US-SRC,2009,2010
US-SRG,2009,2014
US-SRM,2005,2014
US-Seg,2007,2021
US-Ses,2008,2021
US-Sne,2017,2020
US-Snf,2019,2019
US-Syv,2002,2006
US-Ton,2002,2014
US-UMB,2000,2014
US-UMd,2008,2021
US-Var,2001,2020
US-WCr,2000,2005
US-Whs,2008,2015
US-Wkg,2005,2020
US-xBR,2019,2019
US-xCL,2020,2020
US-xCP,2020,2021
US-xDC,2019,2021
US-xDS,2020,2021
US-xJE,2020,2020
US-xKA,2020,2021
US-xKZ,2019,2020
US-xML,2020,2020
US-xNG,2018,2021
US-xRM,2018,2019
US-xSB,2020,2021
US-xSE,2021,2021
US-xSR,2019,2021
US-xST,2018,2021
US-xTA,2020,2021
US-xTR,2019,2021
US-xUK,2020,2021
US-xUN,2018,2021
