climatezone,rsq,RMSE,NNSE
Af north,0.33601711574740034,1.499521538707065,0.006575504359583728
Am south,0.32283149368475494,1.0272568063323457,0.0086292043804558
Aw south,0.939664394533007,1.0210036832252989,0.008101327943992225
Bsh south,0.887366118300454,0.47809960663890944,0.0055416084592778215
Bsk north,0.8162267877297317,0.1316064323166721,0.012537939301246342
Bsk south,0.7166999877536694,0.46019206765126075,0.0033433380627948214
Bwh north,0.6361486363656034,0.2703563265084157,0.006909852959668373
Bwh south,0.4608572417749939,0.3920838242822997,0.004585852964781562
Bwk north,0.5575205300727958,0.2290854773340487,0.0070133808294890005
Cfa north,0.9094895618654023,0.2855897300528754,0.014713607988543521
Cfa south,0.8259919695308758,1.218091189090465,0.0044288904163459295
Cfb north,0.964324110709948,0.1815534967477966,0.018232971766428595
Cfb south,0.4490362013950221,0.4611919053350308,0.007807968227748897
Csa north,0.9805710279672771,0.19877149069698086,0.014202245023402641
Csa south,0.4405852727620903,0.46445486729325086,0.008978616625408374
Csb north,0.906917923211302,0.31257971398757045,0.011819335669521713
Cwa south,0.19401591301557852,1.6158821417909104,0.005202912464839383
Dfa north,0.7712666000906896,0.38955000275985174,0.008098095978652131
Dfb north,0.9000938607242862,0.2548678819238568,0.010988397113608273
Dfc north,0.8749115348892845,0.25259989355800744,0.009974503809520812
Dfd north,0.8777026947781956,0.271921404366746,0.0076928924533340775
Dsa north,0.7958997275586549,0.28333142867513555,0.010697942582306825
Dwb north,0.7917618878031796,0.4444929532507934,0.007303286581351152
ET north,0.9047429816655557,0.22149165852103792,0.009067640776185755
