sitename,rsq,RMSE
AT-Neu,0.7876339474511729,0.8360204939866193
AU-ASM,0.711497360683546,0.3766203680479437
AU-Cow,0.044905470576285515,1.5994474586470158
AU-Ctr,0.17079121714877704,1.116477364401385
AU-Cum,0.2803463315261351,1.0681120468952148
AU-DaP,0.7488286548225918,1.2684106884594948
AU-DaS,0.6875675703957049,1.3133218862949794
AU-Dry,0.7695224404330241,1.0792180796269624
AU-Emr,0.33880316718970305,1.286687953268595
AU-GWW,0.33222609253235713,0.44561550823106155
AU-Gin,0.21707831213861978,0.6407147096492681
AU-How,0.6409472958557488,1.0293180051893234
AU-Lit,0.3880190609901005,1.1596172519982262
AU-Rig,0.38411445278547424,0.6216444980363095
AU-Rob,0.02316151255740077,1.7922084676092351
AU-Sam,0.6566513565823381,1.853995454250262
AU-Stp,0.7889441573822488,0.7366895473990439
AU-TTE,0.5533967218468862,1.0314616325617432
AU-Wrr,0.4956069020370668,0.8054139649760035
AU-Ync,0.5784296279659545,0.5503393507377429
BE-Bra,0.6730678409799657,0.4657047667372508
BE-Dor,0.528614855041941,0.8890728570824686
BE-Lcr,0.38857004668705547,0.7333406442450767
BE-Maa,0.7275978037212263,0.8141788627817239
BE-Vie,0.8321281732450774,0.275056579484954
BR-Npw,0.5895604137768218,1.2550005550585133
BR-Sa3,0.6545475515406822,1.4546345714946591
CA-Ca1,0.6214612752132289,0.550886314161387
CA-Ca2,0.7857579540874561,0.3184298551614741
CA-Cbo,0.5791839364178261,0.7365886226262143
CA-Gro,0.5706130583696433,0.5034354225510991
CA-LP1,0.484644787592963,0.5217499602620477
CA-NS2,0.719422835918686,0.2599267651877593
CA-NS5,0.8562936275999896,0.1925601994989746
CA-Qcu,0.6809357943152377,0.6131190935846119
CA-Qfo,0.5964087465199067,0.39643650513338224
CA-TP1,0.6799917237186363,0.5461898268529906
CA-TP3,0.5609638069884973,0.6136034468679905
CA-TPD,0.5728406457440903,0.9761908138414466
CH-Aws,0.5023201170251275,0.834585262789661
CH-Cha,0.8193224483840289,0.7401671648376769
CH-Dav,0.20967077484617988,1.007315116669564
CH-Fru,0.6765904241009463,0.6237025182913944
CH-Lae,0.6675202963051983,0.7253860004991031
CH-Oe1,0.8222256553242074,0.6960995189760664
CN-Cha,0.7509417621893651,0.49647290517256815
CN-Din,0.4267601917554956,1.138831874711062
CN-HaM,0.7135226285071332,0.7976157165301734
CN-Qia,0.6795287087981554,1.216774719059903
CZ-BK1,0.6683372219424023,0.46052673816124723
CZ-RAJ,0.6046198815849977,0.43072267926610874
CZ-Stn,0.7540619066374946,0.45744156644383455
DE-Bay,0.8149107772159649,0.5205248991228968
DE-Gri,0.8064373259233484,0.49822881044707923
DE-Hai,0.6814580083174819,0.42158549676267415
DE-Hzd,0.7432385206040235,0.5581783967481715
DE-Obe,0.5341670371830098,0.5788256503803165
DE-RuR,0.8349824536711592,0.7962205766585277
DE-RuW,0.17393537334908946,0.9527887423789252
DE-Tha,0.546749347261772,0.5943949165595271
DE-Wet,0.6828586333278711,0.5983597538870306
DK-Lva,0.5675420950480469,0.649366498072805
DK-Sor,0.6797662623860984,0.5822537401630851
ES-Abr,0.7973918702002771,0.2818415151378985
ES-Agu,0.4914712826255363,0.2905866435366821
ES-Cnd,0.29389906628476725,0.618801192335251
ES-ES1,0.016307652102421303,0.8603768694732495
ES-LJu,0.3639659463697137,0.48728679866689095
ES-LM1,0.8629526550951018,0.38942522004020325
ES-LM2,0.8659213093461309,0.31648951108494783
ES-LMa,0.6140805520463058,0.40269970536498256
ES-LgS,0.43051802183026605,0.4662642987906872
FI-Hyy,0.7064450157195509,0.43400313517794503
FI-Ken,0.5380659312556573,0.4261063818002649
FI-Let,0.6226089644706398,0.5941915644847047
FI-Sod,0.5553412886984067,0.5004172531575116
FI-Var,0.5999087101475711,0.2798171308692654
FR-Bil,0.6843459596198259,0.5778192398304862
