climatezone,rsq,RMSE,NNSE
Af north,0.38258576254229043,1.596184858445009,0.0061797593682326075
Am south,0.3440200563568598,0.9067332821001582,0.009765002883224804
Aw south,0.9425254078805843,1.081757392388551,0.00764982135634461
Bsh south,0.908492053888461,0.40130971588004594,0.006594992072495585
Bsk north,0.8130373136281676,0.13248815700978678,0.01245553710898038
Bsk south,0.7266953040232573,0.4495251678164647,0.0034224014868058867
Bwh north,0.6420791775092216,0.2600709258844875,0.0071811644720654235
Bwh south,0.4593680802912876,0.38917354691239553,0.0046199879808173396
Bwk north,0.5586539263981632,0.22865320013964174,0.007026546715783139
Cfa north,0.9000909252220455,0.3072482048862095,0.013690619229894275
Cfa south,0.7713476380958455,1.0900330224641526,0.004946627097786527
Cfb north,0.9635792788200914,0.20134171048233349,0.016470518212221178
Cfb south,0.4447176305548863,0.4584900974675197,0.007853617966061556
Csa north,0.969123604542128,0.21935473519675708,0.012886745171392933
Csa south,0.4226130734411673,0.4635541047438223,0.008995906616395538
Csb north,0.657068216961248,0.5586487001270907,0.006647861196590993
Cwa south,0.21715062139280208,1.3922951211042705,0.006033400916453509
Dfa north,0.7677906061820364,0.39376711194250485,0.008012063048305668
Dfb north,0.8972642090454818,0.2701971611626156,0.010371450598536067
Dfc north,0.8701175197632182,0.26097988417739404,0.009657318331378574
Dfd north,0.8766642751771141,0.28225977842744626,0.007413212462727272
Dsa north,0.7934440131068564,0.2852092566088816,0.010628255554134188
Dwb north,0.7837861723774291,0.43211435939045223,0.0075109292928041155
ET north,0.9021796178733812,0.23045276607569767,0.00871812141457685
