sitename,rsq,RMSE
AT-Neu,0.784836251942137,0.7993763158370052
AU-ASM,0.7115947990793362,0.376138518746103
AU-Cow,0.07627941753492444,1.458534105295944
AU-Ctr,0.1632795911185483,1.0928696620584564
AU-Cum,0.28341529704700874,1.0932703142694096
AU-DaP,0.8018592098084587,0.9502603876595395
AU-DaS,0.686433788493073,1.3220804583074617
AU-Dry,0.7373552793098636,1.05958394189851
AU-Emr,0.33511196291651496,1.281615379542518
AU-GWW,0.3322062272871054,0.4425030298030466
AU-Gin,0.21440582417838255,0.6397739673596126
AU-How,0.6236945881766162,1.1553430561628915
AU-Lit,0.39762749925137647,1.2005753863601483
AU-Rig,0.3799384955134896,0.6199496563985935
AU-Rob,0.042165952582176904,1.5923653335549808
AU-Sam,0.5507828195008903,1.6954492538615311
AU-Stp,0.7783073230174313,0.7002874003780916
AU-TTE,0.5521865914338921,1.0423531931506715
AU-Wrr,0.4933059782246176,0.8040407714217226
AU-Ync,0.5834907375719274,0.5407735430157938
BE-Bra,0.6695353673036909,0.4755179633534451
BE-Dor,0.5307691314837123,0.8747739272609728
BE-Lcr,0.39234152011880635,0.7297800123289456
BE-Maa,0.7261095371371004,0.791155256403054
BE-Vie,0.8291417446882746,0.27483464776391187
BR-Npw,0.5920027560824871,1.3099930855787745
BR-Sa3,0.3517805151727802,1.7735216036140378
CA-Ca1,0.6167412894072167,0.5453726244592471
CA-Ca2,0.7837718798898827,0.3082637112182592
CA-Cbo,0.5743291548513364,0.7467567460838094
CA-Gro,0.5590713585559379,0.5122181220598789
CA-LP1,0.47254684687978565,0.5113544485633773
CA-NS2,0.7128019078160064,0.2613007743389194
CA-NS5,0.8542974537089334,0.19951303886176308
CA-Qcu,0.6769642599551948,0.6008004766632277
CA-Qfo,0.5907741183399443,0.39181750554025746
CA-TP1,0.674880124116872,0.5414184229741656
CA-TP3,0.5540558422096876,0.6110367575768849
CA-TPD,0.5698319923433645,0.9557657708253736
CH-Aws,0.4870115995579795,0.8489260818494383
CH-Cha,0.8168944122839322,0.7609316512627932
CH-Dav,0.20711960857949538,1.009703781045182
CH-Fru,0.6762733831017257,0.6180459250117697
CH-Lae,0.6634390567363112,0.737432850384868
CH-Oe1,0.8215791703635188,0.7092733737392842
CN-Cha,0.742302835993199,0.48721260956200135
CN-Din,0.4193869578601734,1.0899998753844764
CN-HaM,0.7072193077523939,0.7815777137740967
CN-Qia,0.6740836280503165,1.1783567772687813
CZ-BK1,0.6631274627460276,0.4604174157141054
CZ-RAJ,0.598751592158951,0.42860663178943137
CZ-Stn,0.7436087560612104,0.4740712346377519
DE-Bay,0.8109474326595484,0.4962124399921047
DE-Gri,0.8040565876618869,0.4743182534394855
DE-Hai,0.6731605564988752,0.4296507368082531
DE-Hzd,0.741988905059765,0.568831679771411
DE-Obe,0.5328473837028336,0.5719637911275338
DE-RuR,0.8321047573204411,0.8183448095821536
DE-RuW,0.17288744145021984,0.9507130898267613
DE-Tha,0.5433698624347965,0.6029994629092896
DE-Wet,0.6761122217696,0.5848221309373154
DK-Lva,0.5674694175965889,0.6482893598929895
DK-Sor,0.6681303312779027,0.596985530622059
ES-Abr,0.7972999158954795,0.28818468204074055
ES-Agu,0.49020564638839803,0.2900362137993182
ES-Cnd,0.2741932651854782,0.6281158003100482
ES-ES1,0.009978959644720347,0.88281974867495006
ES-LJu,0.35317243639954077,0.4898499175989732
ES-LM1,0.8577975045292429,0.4156531617734464
ES-LM2,0.8616600742776405,0.3382345259850873
ES-LMa,0.6117359784348223,0.40493420903771277
ES-LgS,0.385911121470318,0.4843290894587974
FI-Hyy,0.7015997404175788,0.4451537593587793
FI-Ken,0.5327007595276647,0.4277941981847898
FI-Let,0.6190975100012953,0.6044743743936389
FI-Sod,0.5513730247825912,0.5025763251244276
FI-Var,0.5972358700348691,0.278852942089353
FR-Bil,0.6813112231427066,0.5844777008573869
FR-FBn,0.4134920271068707,0.5642573423906143
FR-Fon,0.6092123259643162,1.0354192970081315
FR-Hes,NA,NA
FR-LBr,0.614805912312911,0.5242287454524159
FR-Lq1,0.7184834860766641,0.6334273958410768
FR-Lq2,0.7469434844954951,0.5656055564052701
FR-Pue,0.6386908169875863,0.4447393650768684
FR-Tou,0.7416006160036568,0.49336943672222866
GF-Guy,0.3770164911347748,1.565750109735248
HU-Bug,0.7593412758775833,0.6358860091681123
IT-Amp,0.40960850385875125,0.6466519967159577
IT-BFt,0.6784966519742684,0.5541106226766234
IT-CA1,0.686791682383449,0.5484792743659455
IT-CA3,0.5739484487105645,0.6142667276448115
IT-Col,0.5141697361906233,0.6267742951175447
IT-Cp2,0.7000033935138784,0.3908955277818472
IT-Cpz,0.5244665046705209,0.6114561771925785
IT-Isp,0.7726500195314416,0.9985241730172714
IT-Lav,0.5594693481085765,0.7543213174511867
IT-Lsn,0.7057687214374795,1.0673940230447023
IT-MBo,0.8046620912408038,0.6010295833350868
IT-Noe,0.32191443137983294,0.683270837994808
IT-PT1,0.5277374073446626,0.8327070705796332
IT-Ren,0.55651925546702,0.8093886728002784
IT-Ro1,0.6861907708703809,0.4195076948056427
IT-Ro2,0.6597807471182343,0.5317705050759037
IT-SR2,0.5721466723267774,0.9812481451677509
IT-SRo,0.2812738719078249,0.8361850277331345
IT-Tor,0.8013719564367912,0.7129070918112528
JP-SMF,0.6039320568090485,0.6197906675594932
NL-Hor,0.5216768763369986,1.1619049208004744
NL-Loo,0.47283446470021234,0.78905799499836
PT-Mi2,0.508488066655261,0.39316363311272473
RU-Fy2,0.6957520251695789,0.47789009088174195
RU-Fyo,0.6539685321879336,0.4408943147009545
SE-Htm,0.7400394903756321,0.3347806012125497
SE-Nor,NA,NA
SE-Ros,0.6646413362698236,0.339893542295226
SE-Svb,0.7076188246204758,0.2980427619039436
US-AR2,0.7236408135765514,0.3788690616742476
US-Aud,0.54815222217919235,0.2963336630855609
US-BRG,0.8318135447071219,0.45280636013218417
US-BZS,0.7619228832429286,0.36333720856408774
US-Bar,0.7120834662899007,0.5360979480131716
US-Blo,0.19582958009541568,1.119003826166546
US-CS2,0.6914507217720784,0.7383458594445287
US-EML,0.6566315868056274,0.3480737225296673
US-FPe,0.6515998001253459,0.6247487867415757
US-Fmf,0.5174357285986003,0.5319092072476004
US-Fuf,0.539727798010776,0.5087575107451748
US-GLE,0.10178778125112026,0.9912113964153366
US-Goo,0.11081427315785553,1.2337080970919827
US-HWB,0.6987982974692584,0.6361149622210092
US-Ho2,0.7424135206883654,0.4041627839229914
US-ICh,0.6433795901395944,0.3000405531413881
US-ICt,0.6577256780041645,0.2500582861877627
US-Jo2,0.43414530539680213,0.38685237253699944
US-KFS,0.5904725659052013,0.6308431111409398
US-KS2,0.6334987569529795,0.8183378085530878
US-MMS,0.703221994260257,0.6523910985502552
US-MOz,0.6835006925719636,0.5930686528182398
US-Me2,0.5797084619367716,0.7672169211016301
US-Me6,0.5453273717662294,0.446525007698329
US-NC1,0.7492627912485968,1.2781727978303672
US-NR1,0.2920992256672131,0.8496437966462073
US-ONA,0.7373257354321398,0.5250659562124265
US-Prr,0.7997183065539484,0.22604389822949325
US-Ro4,0.6701877860130425,0.5042003443182591
US-Rws,0.6351126045360403,0.39622778820717025
US-SP2,0.5802450385385197,0.8130630269984127
US-SP3,0.4549794858169171,0.8512342273973487
US-SRC,0.5737798004225182,0.3187675908061457
US-SRM,0.7076620769279381,0.3537071766500287
US-Seg,0.5287339590387669,0.2968772188839265
US-Ses,0.4735889849315008,0.2718157688531979
US-Syv,0.6413543832882697,0.4454900762549071
US-Ton,0.7969046225649045,0.36353664889554266
US-UMd,0.6646676411142443,0.5379736151383818
US-Var,0.6130618653780855,0.4412546519509164
US-WCr,0.6722781651990217,0.4855180367367362
US-Whs,0.7523079936923642,0.2751772693996659
US-Wkg,0.7147496606906963,0.32296115862853475
US-xBR,0.7337853243952405,0.7724510188437674
US-xCP,0.5767182944539051,0.4032133561578954
US-xDS,0.7829865487751172,0.37542055718788486
US-xJE,0.8137686809582675,0.8891099550237985
US-xKA,0.6158437533385993,0.543992439729021
US-xKZ,0.6649519856928228,0.7367985453117923
US-xML,0.6704851531835017,0.4570539959208422
US-xSB,0.7554473219838007,0.4347284908922111
US-xSE,0.6951765870532964,0.6828471318286482
US-xST,0.7613993739967976,0.5705673388054232
US-xTA,0.8074843718071132,0.7193071011209655
