climatezone,rsq,RMSE,NNSE
Af north,0.013344295424253593,2.777227115046735,0.0035611165145654866
Am south,0.3541102683435696,2.2295957351235964,0.003994379515692228
Aw south,0.888922322409057,1.3450874621974012,0.006161430236422083
Bsh south,0.8880601708456677,1.1264084783104302,0.002359639768326555
Bsk north,0.6829049011574907,0.32012811999364227,0.0051927567043090345
Bsk south,0.7275557561225201,1.149802593387761,0.001340811929217343
Bwh north,0.6835811862644335,0.294619477627931,0.0063444078728717174
Bwh south,0.27229681906804437,1.267536445229838,0.001423037451110785
Bwk north,0.621601705926292,0.272169406641758,0.005909736235449723
Cfa north,0.6315565342793574,0.912489254008837,0.004652072135156429
Cfa south,0.484145647379448,1.1780146372716775,0.004578873213802869
Cfb north,0.7009694604441518,1.1088528557843347,0.0030315249105042023
Cfb south,0.7466947324188189,1.182406139789942,0.0030600344012662694
Csa north,0.14182795827110833,1.0275398621321126,0.0027791752366275167
Csa south,0.1785761287589694,1.1864320842201401,0.00353418632655994
Csb north,0.1615286358393105,1.1519558299594632,0.0032350012796299793
Cwa south,0.26174604482095887,2.2595344434689384,0.0037263305923801206
Dfa north,0.6542648659500306,1.408434064240678,0.002253000652939079
Dfb north,0.5002518420658272,1.1840782500972962,0.002385779467452827
Dfc north,0.6331510840896105,0.9949150797525996,0.002551423703464085
Dfd north,0.5549651718054108,0.4130516681059155,0.005077754671994687
Dsa north,0.516916592514555,0.4489888544032794,0.006777617252631532
Dwb north,0.5523816964460696,1.064031133467565,0.003063935442795168
ET north,0.8614605555776783,0.6268642106661727,0.0032227921315283172
