sitename,rsq,RMSE
AT-Neu,0.41463370250373566,1.5538975764085459
AU-ASM,0.6563184961041121,1.2532161253882204
AU-Cow,0.2629632254638351,2.5028754456418563
AU-Ctr,0.18505528993228718,2.4753157277705946
AU-Cum,0.2683984177346823,1.3021467350468476
AU-DaP,0.6853185519602394,1.4344107257182606
AU-DaS,0.6002097871258671,1.407060835547199
AU-Dry,0.6446178211697933,1.1172691963436676
AU-Emr,0.3312331634465489,1.7095715105122962
AU-GWW,0.32929361684427644,1.2254952001335682
AU-Gin,0.12315359170632184,1.228649463676042
AU-How,0.4831797289456405,1.617204333872747
AU-Lit,0.41243076773336224,1.5483658133417013
AU-Rig,0.5654810695544763,1.1548130290347685
AU-Rob,0.056756320148500405,2.402416110538206
AU-Sam,0.36313315167000976,1.6606779730657277
AU-Stp,0.6809353402266914,1.2113614531788348
AU-TTE,0.5293418290142027,1.7537213247465142
AU-Wrr,0.5579168860746243,1.113075160552038
AU-Ync,0.6191686607138933,1.2459974732648669
BE-Bra,0.1454002249456604,1.2464875556699204
BE-Dor,0.09506962465960907,1.7459268950542435
BE-Lcr,0.24310436624570364,1.2936176152358256
BE-Maa,0.33849682802555237,1.611675634399849
BE-Vie,0.2374079450827204,1.5472370273204887
BR-Npw,0.3081675231199773,1.9584950586092225
BR-Sa3,0.030018193488293446,2.4763164017469
CA-Ca1,0.629441374389275,1.1174568906327895
CA-Ca2,0.6517103729265727,1.2350299408272458
CA-Cbo,0.1516699584240706,1.538658398489517
CA-Gro,0.2020712618129352,1.2742431373006842
CA-LP1,0.21076973031303528,1.2960604836188485
CA-NS2,0.4056019787348973,0.4611398858576336
CA-NS5,0.41468547841266035,0.4333707998831287
CA-Qcu,0.6696033603732822,1.9194356857779333
CA-Qfo,0.3831850342954694,1.4103202291507617
CA-TP1,0.2800752988720679,1.4114101586791905
CA-TP3,0.3980895322939868,1.629732110849662
CA-TPD,0.12544910259148953,1.9170133693791171
CH-Aws,0.4198298219433174,1.170831008421887
CH-Cha,0.47453459836784895,1.3387475158341096
CH-Dav,0.3146413742878815,1.1245437963669382
CH-Fru,0.5684083552021758,1.8189733174971292
CH-Lae,0.3838291360584647,1.2829111546232714
CH-Oe1,0.3512438041729762,1.2614767997010212
CN-Cha,0.49942187616017863,1.1249449012308357
CN-Din,0.13930699177924097,2.4405945295589553
CN-HaM,0.6625667327908735,1.7825284098490384
CN-Qia,0.2592785041206465,2.42212133608348
CZ-BK1,0.37131020436366974,1.7712484642920356
CZ-RAJ,0.5718893533187989,1.189326488403012
CZ-Stn,0.1816676962311633,1.1558087984984284
DE-Bay,0.5806562313181457,2.262630660553888
DE-Gri,0.4473123693025579,1.5204634783048567
DE-Hai,0.23751134451947917,1.1777735851744353
DE-Hzd,0.23718059650164064,1.0348916594061457
DE-Obe,0.4661087054658325,1.615725143103491
DE-RuR,0.2576259921630236,1.055450918616863
DE-RuW,0.149965411766533,1.2960860847456142
DE-Tha,0.34563818173801664,1.0560950592796305
DE-Wet,0.3593519769109469,1.6747619836082208
DK-Lva,0.47372077081351255,1.2294546178644963
DK-Sor,0.4985742604648422,1.2109987369222435
ES-Abr,0.39757303843685626,0.5362216764259753
ES-Agu,0.39904990725352923,0.4119817386715307
ES-Cnd,0.064840947963646,1.077202255071304
ES-ES1,0.010699320069046026,1.721527719979737
ES-LJu,0.007545524193350138,1.1121267667792825
ES-LM1,0.3736430512975575,0.8274711794557972
ES-LM2,0.3598027212720153,0.8225801552435223
ES-LMa,0.3899247206917575,1.0694905487659647
ES-LgS,0.009730422906624835,0.7942798054286792
FI-Hyy,0.5194148505904185,0.9531121798671688
FI-Ken,0.7591807311046189,1.3149286079527271
FI-Let,0.2294780014444099,0.9547587276343532
FI-Sod,0.6169892003799682,0.8349649347742124
FI-Var,0.4432199363523872,0.9735777096519248
FR-Bil,0.5448865446126698,0.8126905147258815
FR-FBn,0.3393981138721119,1.1279030271007064
FR-Fon,0.06311583744798206,1.1969511955417675
FR-Hes,NA,NA
FR-LBr,0.29650212123609015,1.3240650825971596
FR-Lq1,0.5571474848200733,1.2690462293328377
FR-Lq2,0.5637104486270897,1.3506424749627957
FR-Pue,0.0868167883431862,1.2306539944325716
FR-Tou,0.4512070465723716,1.2763597461462843
GF-Guy,5.072392765278364e-4,2.721304567490564
HU-Bug,0.484029658684478,1.3918158744205837
IT-Amp,0.15743309189569143,1.1401918962375404
IT-BFt,0.2534870225763741,0.9325493919392115
IT-CA1,0.12494352211917113,1.1469677749065088
IT-CA3,0.04362501242183824,1.4751744753614604
IT-Col,0.0019933570203296866,1.8391418433791349
IT-Cp2,0.08985794265651031,1.6960082556799339
IT-Cpz,0.0033605721370602204,1.299263158811459
IT-Isp,0.5728593609853259,2.57426887333693
IT-Lav,0.3027997524328864,1.1957319397756485
IT-Lsn,0.2413593944670088,1.8345020561744172
IT-MBo,0.19414322516362928,1.5322213115681258
IT-Noe,0.10795620153498131,0.8683027296878164
IT-PT1,0.02298031523205316,1.4845309380542815
IT-Ren,0.30151408743743535,1.2084073768994579
IT-Ro1,0.0013421886038499594,1.6840606227252686
IT-Ro2,0.005229311689982696,1.7387941320400613
IT-SR2,0.0021506610377781017,1.6383292758051935
IT-SRo,0.2174954744090938,1.1518356343101048
IT-Tor,0.07078325590573833,1.5985680875668777
JP-SMF,0.45875491130424306,2.182881246107879
NL-Hor,0.6139469343827064,1.1460603322916099
NL-Loo,0.19846301003094197,1.0054957350813183
PT-Mi2,0.35453625745144496,1.2168163199675357
RU-Fy2,0.582619667669667,0.7624173625096798
RU-Fyo,0.36050686396351966,0.8788160784470469
SE-Htm,0.5918319846076466,1.2844024696125906
SE-Nor,NA,NA
SE-Ros,0.7212802136176245,0.8839425173435324
SE-Svb,0.5326209312688676,1.0029480636007617
US-AR2,0.5177217870375278,0.5193639034427072
US-Aud,0.6176729492838896,1.1825196466105443
US-BRG,0.7462382700664021,1.0941353753130294
US-BZS,0.38697520709330696,0.5368132844073662
US-Bar,0.2574071609541676,2.047376738001383
US-Blo,0.0790817559506254,2.1931787118545434
US-CS2,0.39811127022172743,1.3927127940297672
US-EML,0.6085201145372908,0.8589339224845712
US-FPe,0.35578358299845875,1.327669247953625
US-Fmf,0.25554367113146564,0.8898388120741124
US-Fuf,0.30433089995112594,0.8149512839816856
US-GLE,1.3633004620442624e-5,1.5328068574660751
US-Goo,0.002521477805958915,1.7631434564323392
US-HWB,0.19060016073746813,1.3376954933156753
US-Ho2,0.1124321979522096,1.4158094479386907
US-ICh,0.2802212218125989,0.4828224615863896
US-ICt,0.31158118991573575,0.6514424498524164
US-Jo2,0.5241020613067424,0.42462104666793593
US-KFS,0.18004648371411072,1.1026197266243418
US-KS2,0.27817923767915315,1.3089908000447508
US-MMS,0.04519710901805116,1.2536272922175484
US-MOz,0.19678881456560515,1.4921016634118744
US-Me2,0.0018024884017561356,1.1547836071439628
US-Me6,0.010992498066985348,0.9355658941355762
US-NC1,0.36066348911993096,1.6225650970886665
US-NR1,0.2137482305460295,0.8349375969979441
US-ONA,0.3281873809666944,1.2348563524622838
US-Prr,0.24767998770285965,0.47695679833174676
US-Ro4,0.4091919173312934,1.530775828735218
US-Rws,0.33207328958779314,0.5978408654215235
US-SP2,0.12263880623010899,1.6782950161601087
US-SP3,0.22928761283575344,1.5425604572050873
US-SRC,0.6405021802425681,0.369205145033697
US-SRM,0.70231382824131094,1.1513775433561144
US-Seg,0.47807532710480805,0.35168481567316556
US-Ses,0.4880854862829285,0.6874032514005635
US-Syv,0.21076705270205723,1.2248096665315937
US-Ton,0.1553597037240734,1.125441532461333
US-UMd,0.20487469495115043,1.558257501255522
US-Var,0.5335921983465688,0.7951362571630706
US-WCr,0.25460717345301054,1.3379770301836689
US-Whs,0.7450715735304948,0.33288986288114353
US-Wkg,0.6565283801309285,0.42558280512779606
US-xBR,0.371592358348301,1.5405689352581657
US-xCP,0.410812738371783,0.41243104238787004
US-xDS,0.37898051083726403,1.3732691282757847
US-xJE,0.5083209849942096,1.110534647099555
US-xKA,0.49306728377535375,0.8228510073103681
US-xKZ,0.42752823652224603,0.9706423283733572
US-xML,0.4638197850577753,1.7920992277592065
US-xSB,0.4697773352832988,1.460936632167833
US-xSE,0.5712453107941791,1.0082683807933814
US-xST,0.5996195508374841,1.0113021559671695
US-xTA,0.47094052657135815,1.2599353349014568
US-xTR,0.5799967640256738,0.9974289041551437
US-xUK,0.5861950370395315,1.0375476284487168
US-xUN,0.6120920321383195,1.032374004221312
